[12:01:36.222][INFO] Logger initialized. Log file: archi.log
[12:01:36.226][INFO] Application init...
[12:01:36.378][INFO] OpenGL 3.3
[12:01:36.397][INFO] Entering state: Loading
[12:01:36.397][INFO] Loading resources (fake)...
[12:01:36.397][INFO] Application init done
[12:01:36.397][INFO] Application run...
[12:01:38.329][TRACE] dt=0.005562
[12:01:38.335][TRACE] dt=0.0055987
[12:01:38.341][TRACE] dt=0.0054889
[12:01:38.346][TRACE] dt=0.0056066
[12:01:38.352][TRACE] dt=0.0055027
[12:01:38.357][TRACE] dt=0.0056109
[12:01:38.363][TRACE] dt=0.0054809
[12:01:38.368][TRACE] dt=0.0055624
[12:01:38.374][TRACE] dt=0.0055676
[12:01:38.379][TRACE] dt=0.0055469
[12:01:38.385][TRACE] dt=0.0055782
[12:01:38.391][TRACE] dt=0.0055502
[12:01:38.396][TRACE] dt=0.0055469
[12:01:38.402][TRACE] dt=0.0055359
[12:01:38.407][INFO] deltaTime (s) last frame: 0.0056755 | approx FPS: 176.196
[12:01:38.413][TRACE] dt=0.0054461
[12:01:38.418][TRACE] dt=0.0055804
[12:01:38.424][TRACE] dt=0.0055323
[12:01:38.429][TRACE] dt=0.005596
[12:01:38.435][TRACE] dt=0.0055316
[12:01:38.441][TRACE] dt=0.0055597
[12:01:38.446][TRACE] dt=0.0055738
[12:01:38.452][TRACE] dt=0.0055189
[12:01:38.457][TRACE] dt=0.005538
[12:01:38.463][TRACE] dt=0.0055786
[12:01:38.468][TRACE] dt=0.0055517
[12:01:38.474][TRACE] dt=0.0055495
[12:01:38.479][TRACE] dt=0.0055544
[12:01:38.485][TRACE] dt=0.0056439
[12:01:38.491][TRACE] dt=0.0054819
[12:01:38.496][TRACE] dt=0.0055538
[12:01:38.502][TRACE] dt=0.0055378
[12:01:38.507][TRACE] dt=0.0055582
[12:01:38.513][TRACE] dt=0.0055664
[12:01:38.518][TRACE] dt=0.0055713
[12:01:38.524][TRACE] dt=0.0055177
[12:01:38.529][TRACE] dt=0.0056126
[12:01:38.535][TRACE] dt=0.0056203
[12:01:38.540][TRACE] dt=0.0054547
[12:01:38.546][TRACE] dt=0.0055838
[12:01:38.552][TRACE] dt=0.0055494
[12:01:38.557][TRACE] dt=0.0055512
[12:01:38.563][TRACE] dt=0.0055435
[12:01:38.568][TRACE] dt=0.0055254
[12:01:38.574][TRACE] dt=0.0056188
[12:01:38.579][TRACE] dt=0.0055403
[12:01:38.585][TRACE] dt=0.005539
[12:01:38.591][TRACE] dt=0.0055602
[12:01:38.596][TRACE] dt=0.0055712
[12:01:38.602][TRACE] dt=0.0055596
[12:01:38.607][TRACE] dt=0.0055199
[12:01:38.613][TRACE] dt=0.0055843
